,dtype,missing_rate,n_unique
bb20_mid_ov_velocity8_lag1,float32,0.0,1002768
bb20_mid_ov_velocity8_lag3,float32,0.0,1002768
bb100_mid_ov_velocity8_lag1,float32,0.0,1002777
bb100_mid_ov_velocity8_lag3,float32,0.0,1002777
bb100_mid_ov_velocity8,float32,0.0,1002778
bb100_mid_ov_velocity3,float32,0.0,1002783
bb100_mid_ov_velocity3_lag1,float32,0.0,1002783
bb100_mid_ov_velocity3_lag3,float32,0.0,1002783
bb20_mid_gap_atr_rollmean_100,float32,0.0,1002824
bb20_mid_ov_value,float32,0.0,1002867
bb20_mid_ov_value_lag1,float32,0.0,1002867
bb20_mid_ov_value_lag3,float32,0.0,1002867
bb20_mid_ov_value_lag5,float32,0.0,1002867
bb20_mid_ov_value_lag8,float32,0.0,1002867
bb20_mid_ov_value_lag13,float32,0.0,1002867
bb20_mid_ov_distance,float32,0.0,1002867
bb20_mid_ov_distance_lag1,float32,0.0,1002867
bb20_mid_ov_distance_lag3,float32,0.0,1002867
bb20_mid_ov_distance_lag5,float32,0.0,1002867
bb20_mid_ov_distance_lag8,float32,0.0,1002867
bb20_mid_ov_distance_lag13,float32,0.0,1002867
bb20_mid_gap_atr_rollmean_20,float32,0.0,1002932
bb20_mid_ov_acceleration3,float32,0.0,1002934
bb200_mid_ov_velocity1,float32,0.0,1003039
bb200_mid_ov_velocity1_lag1,float32,0.0,1003039
bb200_mid_ov_velocity1_lag3,float32,0.0,1003039
bb200_mid_ov_velocity5,float32,0.0,1003091
bb200_mid_ov_velocity5_lag1,float32,0.0,1003091
bb200_mid_ov_velocity5_lag3,float32,0.0,1003091
bb20_mid_ov_acceleration1,float32,0.0,1003092
bb200_mid_ov_velocity3,float32,0.0,1003093
bb200_mid_ov_velocity3_lag1,float32,0.0,1003093
bb200_mid_ov_velocity3_lag3,float32,0.0,1003093
bb200_mid_ov_velocity8,float32,0.0,1003121
bb200_mid_ov_velocity8_lag1,float32,0.0,1003121
bb200_mid_ov_velocity8_lag3,float32,0.0,1003121
bb100_mid_ov_acceleration5,float32,0.0,1003138
bb100_mid_ov_acceleration3,float32,0.0,1003214
bb100_mid_ov_acceleration1,float32,0.0,1003245
bb200_mid_ov_acceleration5,float32,0.0,1003350
bb20_upper_ov_acceleration3,float32,0.0,1003519
bb200_mid_ov_acceleration1,float32,0.0,1003522
bb200_mid_ov_acceleration3,float32,0.0,1003598
bb20_upper_ov_acceleration5,float32,0.0,1003677
bb20_lower_ov_acceleration5,float32,0.0,1003701
bb20_lower_ov_acceleration3,float32,0.0,1003836
bb100_lower_ov_acceleration5,float32,0.0,1004003
bb100_upper_ov_acceleration5,float32,0.0,1004032
bb20_upper_ov_acceleration1,float32,0.0,1004062
bb100_upper_ov_acceleration3,float32,0.0,1004066
bb20_lower_ov_acceleration1,float32,0.0,1004091
bb100_lower_ov_acceleration3,float32,0.0,1004184
bb20_upper_ov_velocity8,float32,0.0,1004283
bb20_upper_ov_velocity8_lag1,float32,0.0,1004283
bb20_upper_ov_velocity8_lag3,float32,0.0,1004283
bb200_upper_ov_acceleration5,float32,0.0,1004283
bb200_lower_ov_acceleration3,float32,0.0,1004309
bb100_lower_ov_acceleration1,float32,0.0,1004312
bb100_upper_ov_acceleration1,float32,0.0,1004326
bb200_upper_ov_acceleration3,float32,0.0,1004358
bb200_lower_ov_acceleration5,float32,0.0,1004359
bb20_lower_ov_velocity8,float32,0.0,1004395
bb20_lower_ov_velocity8_lag1,float32,0.0,1004395
bb20_lower_ov_velocity8_lag3,float32,0.0,1004395
bb200_upper_ov_acceleration1,float32,0.0,1004498
bb200_lower_ov_acceleration1,float32,0.0,1004532
bb20_lower_ov_velocity5,float32,0.0,1004537
bb20_lower_ov_velocity5_lag1,float32,0.0,1004537
bb20_lower_ov_velocity5_lag3,float32,0.0,1004537
bb20_lower_ov_velocity1,float32,0.0,1004556
bb20_lower_ov_velocity1_lag1,float32,0.0,1004556
bb20_lower_ov_velocity1_lag3,float32,0.0,1004556
bb20_upper_ov_velocity5,float32,0.0,1004649
bb20_upper_ov_velocity5_lag1,float32,0.0,1004649
bb20_upper_ov_velocity5_lag3,float32,0.0,1004649
bb20_upper_ov_velocity1,float32,0.0,1004669
bb20_upper_ov_velocity1_lag1,float32,0.0,1004669
bb20_upper_ov_velocity1_lag3,float32,0.0,1004669
bb100_lower_ov_velocity8,float32,0.0,1004672
bb100_lower_ov_velocity8_lag1,float32,0.0,1004672
bb100_lower_ov_velocity8_lag3,float32,0.0,1004672
bb20_upper_ov_velocity3,float32,0.0,1004688
bb20_upper_ov_velocity3_lag1,float32,0.0,1004688
bb20_upper_ov_velocity3_lag3,float32,0.0,1004688
bb20_lower_ov_velocity3,float32,0.0,1004693
bb20_lower_ov_velocity3_lag1,float32,0.0,1004693
bb20_lower_ov_velocity3_lag3,float32,0.0,1004694
bb100_upper_ov_velocity8,float32,0.0,1004748
bb100_upper_ov_velocity8_lag1,float32,0.0,1004748
bb100_upper_ov_velocity8_lag3,float32,0.0,1004748
bb100_upper_ov_velocity5,float32,0.0,1004766
bb100_upper_ov_velocity5_lag1,float32,0.0,1004766
bb100_upper_ov_velocity5_lag3,float32,0.0,1004766
bb100_lower_ov_velocity5,float32,0.0,1004781
bb100_lower_ov_velocity5_lag1,float32,0.0,1004781
bb100_lower_ov_velocity5_lag3,float32,0.0,1004781
bb100_upper_ov_velocity3,float32,0.0,1004810
bb100_upper_ov_velocity3_lag1,float32,0.0,1004810
bb100_upper_ov_velocity3_lag3,float32,0.0,1004810
bb100_lower_ov_velocity1,float32,0.0,1004816
bb100_lower_ov_velocity1_lag1,float32,0.0,1004816
bb100_lower_ov_velocity1_lag3,float32,0.0,1004816
bb100_lower_ov_velocity3,float32,0.0,1004819
bb100_lower_ov_velocity3_lag1,float32,0.0,1004819
bb100_lower_ov_velocity3_lag3,float32,0.0,1004819
bb100_upper_ov_velocity1,float32,0.0,1004848
bb100_upper_ov_velocity1_lag1,float32,0.0,1004848
bb100_upper_ov_velocity1_lag3,float32,0.0,1004848
bb200_upper_ov_velocity5,float32,0.0,1004850
bb200_upper_ov_velocity5_lag1,float32,0.0,1004850
bb200_upper_ov_velocity5_lag3,float32,0.0,1004850
bb200_lower_ov_velocity3,float32,0.0,1004884
bb200_lower_ov_velocity3_lag1,float32,0.0,1004885
bb200_lower_ov_velocity3_lag3,float32,0.0,1004885
bb200_upper_ov_velocity8,float32,0.0,1004894
bb200_upper_ov_velocity8_lag1,float32,0.0,1004894
bb200_upper_ov_velocity8_lag3,float32,0.0,1004894
bb200_lower_ov_velocity5,float32,0.0,1004897
bb200_lower_ov_velocity5_lag1,float32,0.0,1004897
bb200_lower_ov_velocity5_lag3,float32,0.0,1004897
bb200_lower_ov_velocity1,float32,0.0,1004902
bb200_lower_ov_velocity1_lag1,float32,0.0,1004902
bb200_lower_ov_velocity1_lag3,float32,0.0,1004902
